-0.981533+0.012404j,1.386297+0.000000j,1.386292-0.000000j,0.000000
-0.981516+0.012401j,1.386297+0.000000j,1.386292-0.000000j,0.000000
-0.981499+0.012397j,1.386297+0.000000j,1.386292-0.000000j,0.000000
-0.981482+0.012394j,1.386297+0.000000j,1.386292-0.000000j,0.000000
-0.981465+0.012391j,1.386297+0.000000j,1.386292-0.000000j,0.000000
-0.981447+0.012388j,1.386297+0.000000j,1.386292-0.000000j,0.000000
-0.981430+0.012384j,1.386297+0.000000j,1.386292-0.000000j,0.000000
-0.981413+0.012381j,1.386297+0.000000j,1.386292-0.000000j,0.000000
-0.981396+0.012378j,1.386297+0.000000j,1.386292-0.000000j,0.000000
-0.981379+0.012375j,1.386297+0.000000j,1.386292-0.000000j,0.000000
-0.981363+0.012372j,1.386297+0.000000j,1.386292-0.000000j,0.000000
-0.981346+0.012368j,1.386297+0.000000j,1.386292-0.000000j,0.000000
-0.981329+0.012365j,1.386297+0.000000j,1.386292-0.000000j,0.000000
-0.981312+0.012362j,1.386297+0.000000j,1.386292-0.000000j,0.000000
-0.981295+0.012359j,1.386297+0.000000j,1.386292-0.000000j,0.000000
-0.981278+0.012356j,1.386297+0.000000j,1.386292-0.000000j,0.000000
-0.981261+0.012353j,1.386297+0.000000j,1.386292-0.000000j,0.000000
-0.981245+0.012350j,1.386297+0.000000j,1.386292-0.000000j,0.000000
-0.981228+0.012347j,1.386297+0.000000j,1.386292-0.000000j,0.000000
-0.981211+0.012344j,1.386297+0.000000j,1.386292-0.000000j,0.000000
-0.981195+0.012341j,1.386297+0.000000j,1.386292-0.000000j,0.000000
-0.981178+0.012338j,1.386297+0.000000j,1.386291-0.000000j,0.000000
-0.981161+0.012335j,1.386297+0.000000j,1.386291-0.000000j,0.000000
-0.981145+0.012332j,1.386297+0.000000j,1.386291-0.000000j,0.000000
-0.981128+0.012329j,1.386297+0.000000j,1.386291-0.000000j,0.000000
-0.981112+0.012326j,1.386297+0.000000j,1.386291-0.000000j,0.000000
-0.981095+0.012323j,1.386297+0.000000j,1.386291-0.000000j,0.000000
-0.981079+0.012320j,1.386297+0.000000j,1.386291-0.000000j,0.000000
-0.981062+0.012317j,1.386297+0.000000j,1.386291-0.000000j,0.000000
-0.981046+0.012314j,1.386297+0.000000j,1.386291-0.000000j,0.000000
-0.981029+0.012311j,1.386297+0.000000j,1.386291-0.000000j,0.000000
-0.981013+0.012308j,1.386297+0.000000j,1.386291-0.000000j,0.000000
-0.980996+0.012306j,1.386297+0.000000j,1.386291-0.000000j,0.000000
-0.980980+0.012303j,1.386297+0.000000j,1.386291-0.000000j,0.000000
-0.980964+0.012300j,1.386297+0.000000j,1.386291-0.000000j,0.000000
-0.980947+0.012297j,1.386297+0.000000j,1.386291-0.000000j,0.000000
-0.980931+0.012294j,1.386297+0.000000j,1.386291-0.000000j,0.000000
-0.980915+0.012292j,1.386297+0.000000j,1.386291-0.000000j,0.000000
-0.980899+0.012289j,1.386297+0.000000j,1.386291-0.000000j,0.000000
-0.980882+0.012286j,1.386297+0.000000j,1.386291-0.000000j,0.000000
-0.980866+0.012283j,1.386297+0.000000j,1.386291-0.000000j,0.000000
-0.980850+0.012281j,1.386297+0.000000j,1.386291-0.000000j,0.000000
-0.980834+0.012278j,1.386297+0.000000j,1.386291-0.000000j,0.000000
-0.980818+0.012275j,1.386297+0.000000j,1.386291-0.000000j,0.000000
-0.980802+0.012272j,1.386297+0.000000j,1.386291-0.000000j,0.000000
-0.980786+0.012270j,1.386297+0.000000j,1.386291-0.000000j,0.000000
-0.980770+0.012267j,1.386297+0.000000j,1.386291-0.000000j,0.000000
-0.980754+0.012264j,1.386297+0.000000j,1.386291-0.000000j,0.000000
-0.980738+0.012262j,1.386297+0.000000j,1.386291-0.000000j,0.000000
-0.980722+0.012259j,1.386297+0.000000j,1.386291-0.000000j,0.000000
-0.980706+0.012257j,1.386297+0.000000j,1.386291-0.000000j,0.000000
