-1.008561+0.012635j,1.386295-0.000001j,1.386294+0.000001j,0.000000
-1.008539+0.012671j,1.386295-0.000001j,1.386294+0.000001j,0.000000
-1.008517+0.012706j,1.386295-0.000001j,1.386294+0.000001j,0.000000
-1.008496+0.012742j,1.386295-0.000001j,1.386294+0.000001j,0.000000
-1.008474+0.012778j,1.386295-0.000001j,1.386294+0.000001j,0.000000
-1.008453+0.012814j,1.386295-0.000001j,1.386294+0.000001j,0.000000
-1.008432+0.012850j,1.386295-0.000001j,1.386294+0.000001j,0.000000
-1.008411+0.012887j,1.386295-0.000001j,1.386294+0.000001j,0.000000
-1.008390+0.012923j,1.386295-0.000001j,1.386294+0.000001j,0.000000
-1.008369+0.012959j,1.386295-0.000001j,1.386294+0.000001j,0.000000
-1.008348+0.012995j,1.386295-0.000001j,1.386294+0.000001j,0.000000
-1.008327+0.013032j,1.386295-0.000001j,1.386294+0.000001j,0.000000
-1.008307+0.013068j,1.386295-0.000001j,1.386294+0.000001j,0.000000
-1.008286+0.013105j,1.386295-0.000001j,1.386294+0.000001j,0.000000
-1.008266+0.013142j,1.386295-0.000001j,1.386294+0.000001j,0.000000
-1.008246+0.013178j,1.386295-0.000001j,1.386294+0.000001j,0.000000
-1.008226+0.013215j,1.386295-0.000001j,1.386294+0.000001j,0.000000
-1.008206+0.013252j,1.386295-0.000001j,1.386294+0.000001j,0.000000
-1.008186+0.013289j,1.386295-0.000001j,1.386294+0.000001j,0.000000
-1.008166+0.013326j,1.386295-0.000001j,1.386294+0.000001j,0.000000
-1.008147+0.013363j,1.386295-0.000001j,1.386294+0.000001j,0.000000
-1.008127+0.013400j,1.386295-0.000001j,1.386294+0.000001j,0.000000
-1.008108+0.013438j,1.386295-0.000001j,1.386294+0.000001j,0.000000
-1.008089+0.013475j,1.386295-0.000001j,1.386294+0.000001j,0.000000
-1.008070+0.013512j,1.386295-0.000001j,1.386294+0.000001j,0.000000
-1.008051+0.013550j,1.386295-0.000001j,1.386294+0.000001j,0.000000
-1.008032+0.013587j,1.386295-0.000001j,1.386294+0.000001j,0.000000
-1.008014+0.013625j,1.386295-0.000001j,1.386294+0.000001j,0.000000
-1.007995+0.013663j,1.386295-0.000001j,1.386294+0.000001j,0.000000
-1.007977+0.013701j,1.386295-0.000001j,1.386294+0.000001j,0.000000
-1.007959+0.013738j,1.386295-0.000001j,1.386294+0.000001j,0.000000
-1.007941+0.013776j,1.386295-0.000001j,1.386294+0.000001j,0.000000
-1.007923+0.013814j,1.386295-0.000001j,1.386294+0.000001j,0.000000
-1.007905+0.013853j,1.386295-0.000001j,1.386294+0.000001j,0.000000
-1.007888+0.013891j,1.386295-0.000001j,1.386294+0.000001j,0.000000
-1.007870+0.013929j,1.386295-0.000001j,1.386294+0.000001j,0.000000
-1.007853+0.013967j,1.386295-0.000001j,1.386294+0.000001j,0.000000
-1.007836+0.014006j,1.386295-0.000001j,1.386294+0.000001j,0.000000
-1.007819+0.014044j,1.386295-0.000001j,1.386294+0.000001j,0.000000
-1.007802+0.014083j,1.386295-0.000001j,1.386294+0.000001j,0.000000
-1.007786+0.014122j,1.386295-0.000001j,1.386294+0.000001j,0.000000
-1.007769+0.014161j,1.386295-0.000001j,1.386294+0.000001j,0.000000
-1.007753+0.014199j,1.386295-0.000001j,1.386294+0.000001j,0.000000
-1.007737+0.014238j,1.386295-0.000001j,1.386294+0.000001j,0.000000
-1.007721+0.014277j,1.386295-0.000001j,1.386294+0.000001j,0.000000
-1.007706+0.014317j,1.386295-0.000001j,1.386294+0.000001j,0.000000
-1.007690+0.014356j,1.386295-0.000001j,1.386294+0.000001j,0.000000
-1.007675+0.014395j,1.386295-0.000001j,1.386294+0.000001j,0.000000
-1.007660+0.014434j,1.386295-0.000001j,1.386294+0.000001j,0.000000
-1.007645+0.014474j,1.386295-0.000001j,1.386294+0.000001j,0.000000
-1.007630+0.014513j,1.386295-0.000001j,1.386294+0.000001j,0.000000
-1.007616+0.014553j,1.386295-0.000001j,1.386294+0.000001j,0.000000
-1.007601+0.014592j,1.386295-0.000001j,1.386294+0.000001j,0.000000
-1.007587+0.014632j,1.386295-0.000001j,1.386294+0.000001j,0.000000
-1.007573+0.014672j,1.386295-0.000001j,1.386294+0.000001j,0.000000
-1.007560+0.014712j,1.386295-0.000001j,1.386294+0.000001j,0.000000
-1.007546+0.014752j,1.386295-0.000001j,1.386294+0.000001j,0.000000
-1.007533+0.014792j,1.386295-0.000001j,1.386294+0.000001j,0.000000
-1.007520+0.014832j,1.386295-0.000001j,1.386294+0.000001j,0.000000
-1.007507+0.014872j,1.386295-0.000001j,1.386294+0.000001j,0.000000
-1.007494+0.014912j,1.386295-0.000001j,1.386294+0.000001j,0.000000
-1.007482+0.014952j,1.386295-0.000001j,1.386294+0.000001j,0.000000
-1.007470+0.014992j,1.386295-0.000001j,1.386294+0.000001j,0.000000
-1.007458+0.015033j,1.386295-0.000001j,1.386294+0.000001j,0.000000
-1.007446+0.015073j,1.386295-0.000001j,1.386294+0.000001j,0.000000
-1.007435+0.015113j,1.386295-0.000001j,1.386294+0.000001j,0.000000
-1.007424+0.015154j,1.386295-0.000001j,1.386294+0.000001j,0.000000
-1.007413+0.015194j,1.386295-0.000001j,1.386294+0.000001j,0.000000
