0.059532+0.047177j,-0.061559-0.060635j,-0.059215-0.065083j,0.000069
0.059511+0.047291j,-0.061614-0.060509j,-0.059133-0.065211j,0.000077
0.059489+0.047409j,-0.061671-0.060378j,-0.059047-0.065344j,0.000086
0.059465+0.047533j,-0.061731-0.060241j,-0.058957-0.065483j,0.000096
0.059440+0.047663j,-0.061794-0.060097j,-0.058862-0.065628j,0.000107
0.059415+0.047799j,-0.061860-0.059947j,-0.058763-0.065780j,0.000119
0.059387+0.047941j,-0.061930-0.059791j,-0.058660-0.065938j,0.000132
0.059359+0.048089j,-0.062002-0.059627j,-0.058551-0.066103j,0.000146
0.059329+0.048244j,-0.062078-0.059457j,-0.058438-0.066275j,0.000162
0.059297+0.048405j,-0.062157-0.059279j,-0.058319-0.066454j,0.000180
0.059264+0.048574j,-0.062240-0.059093j,-0.058195-0.066641j,0.000199
0.059229+0.048750j,-0.062327-0.058899j,-0.058065-0.066835j,0.000220
0.059193+0.048933j,-0.062418-0.058698j,-0.057929-0.067037j,0.000243
0.059154+0.049124j,-0.062513-0.058488j,-0.057787-0.067247j,0.000268
0.059114+0.049324j,-0.062613-0.058269j,-0.057639-0.067466j,0.000296
0.059072+0.049531j,-0.062717-0.058041j,-0.057484-0.067693j,0.000326
0.059028+0.049747j,-0.062825-0.057804j,-0.057322-0.067929j,0.000359
0.058982+0.049972j,-0.062939-0.057557j,-0.057154-0.068173j,0.000395
0.058933+0.050206j,-0.063058-0.057301j,-0.056978-0.068428j,0.000434
0.058882+0.050450j,-0.063181-0.057035j,-0.056794-0.068691j,0.000477
0.058829+0.050703j,-0.063311-0.056758j,-0.056602-0.068964j,0.000523
0.058772+0.050967j,-0.063446-0.056470j,-0.056402-0.069248j,0.000574
0.058714+0.051241j,-0.063587-0.056171j,-0.056193-0.069541j,0.000629
0.058652+0.051525j,-0.063735-0.055861j,-0.055976-0.069845j,0.000688
0.058587+0.051821j,-0.063888-0.055540j,-0.055749-0.070159j,0.000753
0.058520+0.052127j,-0.064049-0.055206j,-0.055513-0.070484j,0.000823
0.058449+0.052445j,-0.064216-0.054861j,-0.055267-0.070820j,0.000899
0.058375+0.052775j,-0.064390-0.054503j,-0.055011-0.071167j,0.000981
0.058297+0.053117j,-0.064571-0.054133j,-0.054745-0.071525j,0.001070
0.058215+0.053472j,-0.064761-0.053749j,-0.054468-0.071894j,0.001166
0.058130+0.053839j,-0.064958-0.053353j,-0.054181-0.072275j,0.001270
0.058041+0.054219j,-0.065163-0.052942j,-0.053881-0.072668j,0.001381
0.057947+0.054613j,-0.065377-0.052518j,-0.053570-0.073072j,0.001502
0.057849+0.055021j,-0.065600-0.052080j,-0.053246-0.073489j,0.001632
0.057747+0.055443j,-0.065832-0.051627j,-0.052910-0.073918j,0.001771
0.057640+0.055879j,-0.066073-0.051159j,-0.052561-0.074359j,0.001922
0.057527+0.056331j,-0.066325-0.050676j,-0.052198-0.074813j,0.002083
0.057410+0.056797j,-0.066586-0.050177j,-0.051822-0.075280j,0.002257
0.057287+0.057280j,-0.066858-0.049663j,-0.051431-0.075759j,0.002443
0.057158+0.057778j,-0.067142-0.049132j,-0.051025-0.076251j,0.002643
0.057023+0.058293j,-0.067437-0.048585j,-0.050604-0.076756j,0.002857
0.056881+0.058825j,-0.067743-0.048021j,-0.050167-0.077274j,0.003087
0.056734+0.059375j,-0.068062-0.047440j,-0.049715-0.077805j,0.003333
