0.784201+0.000000j,0.033177+3.142866j,0.033177+3.140320j,0.000052
0.785684+0.000000j,0.032685+3.142903j,0.032685+3.140282j,0.000057
0.787239+0.000000j,0.032170+3.142942j,0.032170+3.140244j,0.000063
0.788869+0.000000j,0.031632+3.142980j,0.031632+3.140205j,0.000068
0.790577+0.000000j,0.031068+3.143020j,0.031068+3.140165j,0.000074
0.792366+0.000000j,0.030480+3.143061j,0.030480+3.140125j,0.000081
0.794239+0.000000j,0.029865+3.143102j,0.029865+3.140084j,0.000088
0.796198+0.000000j,0.029224+3.143144j,0.029224+3.140042j,0.000096
0.798247+0.000000j,0.028554+3.143186j,0.028554+3.139999j,0.000104
0.800388+0.000000j,0.027857+3.143230j,0.027857+3.139955j,0.000113
0.802627+0.000000j,0.027130+3.143274j,0.027130+3.139911j,0.000122
0.804965+0.000000j,0.026372+3.143320j,0.026372+3.139866j,0.000132
0.807406+0.000000j,0.025584+3.143366j,0.025584+3.139819j,0.000143
0.809954+0.000000j,0.024764+3.143413j,0.024764+3.139772j,0.000154
0.812613+0.000000j,0.023910+3.143461j,0.023910+3.139724j,0.000167
0.815387+0.000000j,0.023023+3.143510j,0.023023+3.139675j,0.000180
0.818280+0.000000j,0.022102+3.143561j,0.022102+3.139624j,0.000194
0.821297+0.000000j,0.021144+3.143612j,0.021144+3.139573j,0.000208
0.824443+0.000000j,0.020149+3.143665j,0.020149+3.139520j,0.000224
0.827723+0.000000j,0.019116+3.143719j,0.019116+3.139466j,0.000241
0.831144+0.000000j,0.018043+3.143775j,0.018043+3.139410j,0.000259
0.834713+0.000000j,0.016928+3.143832j,0.016928+3.139353j,0.000278
0.838439+0.000000j,0.015770+3.143892j,0.015770+3.139294j,0.000299
0.842332+0.000000j,0.014566+3.143953j,0.014566+3.139232j,0.000320
0.846407+0.000000j,0.013312+3.144017j,0.013312+3.139169j,0.000344
0.850682+0.000000j,0.012002+3.144084j,0.012002+3.139102j,0.000369
0.855183+0.000000j,0.010631+3.144154j,0.010631+3.139032j,0.000396
0.859952+0.000000j,0.009188+3.144228j,0.009188+3.138957j,0.000425
0.865057+0.000000j,0.007652+3.144309j,0.007652+3.138876j,0.000457
0.870633+0.000000j,0.005986+3.144398j,0.005986+3.138787j,0.000493
0.877042+0.000000j,0.004086+3.144502j,0.004086+3.138683j,0.000535
0.882162+0.000000j,0.002579+3.144588j,0.002579+3.138597j,0.000570
0.888881+0.000000j,0.000618+3.144704j,0.000618+3.138481j,0.000617
0.894440+0.000000j,-0.000990+3.144804j,-0.000990+3.138381j,0.000657
0.899860+0.000000j,-0.002547+3.144906j,-0.002547+3.138280j,0.000697
0.905147+0.000000j,-0.004052+3.145009j,-0.004052+3.138176j,0.000737
0.910304+0.000000j,-0.005508+3.145115j,-0.005508+3.138070j,0.000777
0.915633+0.000000j,-0.006999+3.145231j,-0.006999+3.137955j,0.000819
0.921230+0.000000j,-0.008549+3.145359j,-0.008549+3.137826j,0.000865
0.926391+0.000000j,-0.009963+3.145486j,-0.009963+3.137699j,0.000908
0.930727+0.000000j,-0.011138+3.145598j,-0.011138+3.137587j,0.000946
0.935335+0.000000j,-0.012373+3.145724j,-0.012373+3.137461j,0.000986
0.938912+0.000000j,-0.013320+3.145828j,-0.013320+3.137358j,0.001019
0.942612+0.000000j,-0.014289+3.145939j,-0.014289+3.137246j,0.001053
0.946232+0.000000j,-0.015224+3.146053j,-0.015224+3.137132j,0.001087
0.949390+0.000000j,-0.016030+3.146156j,-0.016030+3.137029j,0.001117
0.952488+0.000000j,-0.016809+3.146260j,-0.016809+3.136925j,0.001148
0.955526+0.000000j,-0.017561+3.146366j,-0.017561+3.136820j,0.001178
0.958508+0.000000j,-0.018288+3.146471j,-0.018288+3.136714j,0.001208
0.961435+0.000000j,-0.018989+3.146576j,-0.018989+3.136609j,0.001239
0.964309+0.000000j,-0.019665+3.146680j,-0.019665+3.136505j,0.001269
0.967240+0.000000j,-0.020339+3.146786j,-0.020339+3.136399j,0.001301
0.970278+0.000000j,-0.021023+3.146895j,-0.021023+3.136290j,0.001334
0.973561+0.000000j,-0.021743+3.147009j,-0.021743+3.136176j,0.001370
0.977632+0.000000j,-0.022608+3.147143j,-0.022608+3.136043j,0.001417
0.980468+0.000000j,-0.023192+3.147228j,-0.023192+3.135957j,0.001449
0.983591+0.000000j,-0.023817+3.147314j,-0.023817+3.135871j,0.001485
0.986680+0.000000j,-0.024418+3.147388j,-0.024418+3.135798j,0.001522
