1.619297+0.191064j,-0.153774-0.029447j,-0.154991-0.030152j,0.000129
1.623133+0.200018j,-0.154520-0.030749j,-0.155763-0.031469j,0.000138
1.627073+0.209336j,-0.155293-0.032097j,-0.156562-0.032833j,0.000147
1.631118+0.219030j,-0.156095-0.033491j,-0.157389-0.034244j,0.000156
1.635268+0.229113j,-0.156926-0.034934j,-0.158246-0.035702j,0.000166
1.639523+0.239600j,-0.157787-0.036425j,-0.159134-0.037211j,0.000177
1.643883+0.250506j,-0.158679-0.037966j,-0.160052-0.038769j,0.000188
1.648347+0.261844j,-0.159603-0.039559j,-0.161003-0.040380j,0.000200
1.652914+0.273630j,-0.160560-0.041204j,-0.161988-0.042043j,0.000213
1.657583+0.285880j,-0.161551-0.042903j,-0.163006-0.043760j,0.000226
1.662353+0.298611j,-0.162577-0.044656j,-0.164060-0.045532j,0.000240
1.667222+0.311840j,-0.163639-0.046465j,-0.165150-0.047360j,0.000254
1.672189+0.325583j,-0.164738-0.048331j,-0.166277-0.049245j,0.000270
1.677250+0.339861j,-0.165876-0.050255j,-0.167443-0.051190j,0.000286
1.682405+0.354692j,-0.167052-0.052239j,-0.168648-0.053193j,0.000303
1.687649+0.370097j,-0.168270-0.054282j,-0.169895-0.055258j,0.000321
1.692979+0.386096j,-0.169529-0.056388j,-0.171183-0.057385j,0.000339
1.698392+0.402711j,-0.170832-0.058556j,-0.172516-0.059575j,0.000359
1.703882+0.419966j,-0.172180-0.060789j,-0.173893-0.061831j,0.000380
1.709447+0.437885j,-0.173573-0.063087j,-0.175317-0.064152j,0.000402
1.715080+0.456494j,-0.175014-0.065452j,-0.176788-0.066540j,0.000424
1.720775+0.475820j,-0.176504-0.067885j,-0.178309-0.068998j,0.000448
1.726525+0.495891j,-0.178045-0.070387j,-0.179881-0.071526j,0.000473
1.732325+0.516738j,-0.179638-0.072961j,-0.181506-0.074125j,0.000500
1.738164+0.538393j,-0.181286-0.075608j,-0.183186-0.076799j,0.000527
1.744034+0.560889j,-0.182990-0.078329j,-0.184923-0.079547j,0.000556
1.749924+0.584263j,-0.184752-0.081126j,-0.186718-0.082372j,0.000587
1.755823+0.608552j,-0.186573-0.084002j,-0.188573-0.085276j,0.000619
1.761718+0.633795j,-0.188457-0.086956j,-0.190491-0.088261j,0.000652
1.767594+0.660034j,-0.190405-0.089992j,-0.192474-0.091327j,0.000687
1.773434+0.687312j,-0.192419-0.093112j,-0.194523-0.094478j,0.000724
1.779220+0.715672j,-0.194502-0.096316j,-0.196642-0.097715j,0.000763
1.784930+0.745161j,-0.196654-0.099608j,-0.198832-0.101039j,0.000803
1.790540+0.775821j,-0.198879-0.102987j,-0.201094-0.104453j,0.000845
1.796023+0.807698j,-0.201177-0.106455j,-0.203431-0.107956j,0.000890
1.801349+0.840833j,-0.203551-0.110013j,-0.205844-0.111551j,0.000937
1.806482+0.875261j,-0.206000-0.113662j,-0.208334-0.115236j,0.000985
1.811387+0.911013j,-0.208525-0.117399j,-0.210901-0.119011j,0.001036
1.816019+0.948112j,-0.211127-0.121224j,-0.213544-0.122876j,0.001090
1.820335+0.986567j,-0.213802-0.125134j,-0.216263-0.126826j,0.001146
1.824286+1.026376j,-0.216551-0.129126j,-0.219056-0.130858j,0.001204
1.827820+1.067525j,-0.219368-0.133193j,-0.221919-0.134966j,0.001265
1.830886+1.109987j,-0.222250-0.137331j,-0.224847-0.139146j,0.001328
1.833430+1.153723j,-0.225194-0.141532j,-0.227838-0.143390j,0.001393
1.835400+1.198688j,-0.228193-0.145790j,-0.230885-0.147692j,0.001461
1.836713+1.243340j,-0.231144-0.149960j,-0.233883-0.151904j,0.001528
1.837406+1.290559j,-0.234237-0.154308j,-0.237025-0.156297j,0.001600
1.837390+1.337457j,-0.237279-0.158568j,-0.240117-0.160600j,0.001672
1.836619+1.386785j,-0.240450-0.162989j,-0.243338-0.165065j,0.001749
1.835089+1.435783j,-0.243569-0.167321j,-0.246508-0.169441j,0.001825
1.832674+1.487090j,-0.246803-0.171798j,-0.249794-0.173963j,0.001905
1.829452+1.538059j,-0.249985-0.176188j,-0.253028-0.178397j,0.001986
1.825216+1.591257j,-0.253274-0.180712j,-0.256371-0.182966j,0.002070
1.820126+1.644104j,-0.256510-0.185151j,-0.259659-0.187449j,0.002154
1.813891+1.699133j,-0.259846-0.189718j,-0.263050-0.192061j,0.002243
1.806753+1.753795j,-0.263128-0.194202j,-0.266386-0.196589j,0.002331
1.798334+1.810611j,-0.266506-0.198809j,-0.269821-0.201241j,0.002424
