0.745358+0.330824j,0.021484-0.106056j,0.021449-0.105982j,0.000000
0.745313+0.330826j,0.021499-0.106063j,0.021459-0.105988j,0.000000
0.745266+0.330829j,0.021514-0.106071j,0.021470-0.105993j,0.000000
0.745215+0.330835j,0.021530-0.106080j,0.021482-0.106000j,0.000000
0.745160+0.330843j,0.021547-0.106091j,0.021494-0.106008j,0.000000
0.745100+0.330853j,0.021565-0.106103j,0.021507-0.106017j,0.000000
0.745036+0.330864j,0.021584-0.106116j,0.021522-0.106026j,0.000000
0.744966+0.330878j,0.021605-0.106131j,0.021538-0.106037j,0.000000
0.744890+0.330894j,0.021627-0.106147j,0.021555-0.106049j,0.000000
0.744808+0.330913j,0.021650-0.106165j,0.021573-0.106063j,0.000000
0.744719+0.330934j,0.021675-0.106184j,0.021594-0.106078j,0.000000
0.744623+0.330957j,0.021702-0.106206j,0.021616-0.106094j,0.000000
0.744518+0.330983j,0.021731-0.106229j,0.021640-0.106112j,0.000000
0.744406+0.331012j,0.021762-0.106254j,0.021665-0.106132j,0.000000
0.744284+0.331044j,0.021795-0.106281j,0.021694-0.106154j,0.000000
0.744153+0.331078j,0.021831-0.106310j,0.021724-0.106177j,0.000000
0.744011+0.331117j,0.021869-0.106342j,0.021757-0.106203j,0.000000
0.743859+0.331158j,0.021910-0.106376j,0.021792-0.106231j,0.000000
0.743695+0.331203j,0.021954-0.106413j,0.021830-0.106262j,0.000000
0.743519+0.331252j,0.022001-0.106452j,0.021871-0.106295j,0.000000
0.743330+0.331305j,0.022051-0.106495j,0.021915-0.106330j,0.000000
0.743127+0.331361j,0.022105-0.106540j,0.021963-0.106369j,0.000000
0.742910+0.331423j,0.022162-0.106589j,0.022013-0.106410j,0.000001
0.742678+0.331488j,0.022223-0.106640j,0.022068-0.106455j,0.000001
0.742430+0.331559j,0.022288-0.106696j,0.022126-0.106503j,0.000001
0.742165+0.331634j,0.022358-0.106755j,0.022189-0.106554j,0.000001
0.741882+0.331715j,0.022431-0.106818j,0.022256-0.106609j,0.000001
0.741581+0.331802j,0.022510-0.106885j,0.022327-0.106668j,0.000001
0.741260+0.331894j,0.022593-0.106957j,0.022403-0.106731j,0.000001
0.740918+0.331992j,0.022682-0.107033j,0.022485-0.106799j,0.000001
0.740555+0.332096j,0.022776-0.107113j,0.022571-0.106871j,0.000001
0.740169+0.332207j,0.022876-0.107199j,0.022663-0.106947j,0.000002
0.739759+0.332325j,0.022982-0.107289j,0.022761-0.107029j,0.000002
0.739325+0.332450j,0.023094-0.107386j,0.022865-0.107115j,0.000002
0.738864+0.332582j,0.023213-0.107487j,0.022975-0.107207j,0.000002
0.738376+0.332722j,0.023338-0.107595j,0.023093-0.107305j,0.000002
0.737860+0.332871j,0.023471-0.107709j,0.023217-0.107409j,0.000003
0.737314+0.333027j,0.023612-0.107830j,0.023348-0.107519j,0.000003
0.736737+0.333193j,0.023760-0.107957j,0.023487-0.107636j,0.000003
