-0.053808+0.872528j,-0.022820+3.253645j,0.036280+2.992445j,0.013161
-0.057118+0.873187j,-0.023735+3.258134j,0.037721+2.986449j,0.014235
-0.060540+0.873855j,-0.024679+3.262768j,0.039207+2.980257j,0.015388
-0.064078+0.874530j,-0.025653+3.267550j,0.040739+2.973865j,0.016625
-0.067736+0.875213j,-0.026658+3.272483j,0.042318+2.967267j,0.017952
-0.071516+0.875902j,-0.027696+3.277571j,0.043945+2.960458j,0.019373
-0.075422+0.876597j,-0.028765+3.282819j,0.045620+2.953433j,0.020896
-0.079457+0.877296j,-0.029869+3.288229j,0.047345+2.946186j,0.022526
-0.083626+0.877998j,-0.031006+3.293806j,0.049120+2.938710j,0.024271
-0.087932+0.878701j,-0.032179+3.299554j,0.050947+2.931001j,0.026137
-0.092378+0.879405j,-0.033388+3.305476j,0.052826+2.923051j,0.028133
-0.096969+0.880108j,-0.034633+3.311578j,0.054758+2.914855j,0.030266
-0.101709+0.880809j,-0.035916+3.317862j,0.056744+2.906406j,0.032545
-0.106601+0.881504j,-0.037238+3.324334j,0.058786+2.897697j,0.034979
-0.111651+0.882194j,-0.038600+3.330999j,0.060882+2.888721j,0.037578
-0.116863+0.882875j,-0.040002+3.337860j,0.063036+2.879472j,0.040350
-0.122241+0.883545j,-0.041446+3.344922j,0.065246+2.869940j,0.043308
-0.127790+0.884202j,-0.042933+3.352191j,0.067515+2.860119j,0.046463
-0.133515+0.884843j,-0.044464+3.359671j,0.069842+2.850000j,0.049825
-0.139422+0.885466j,-0.046040+3.367367j,0.072228+2.839575j,0.053409
-0.145514+0.886067j,-0.047662+3.375286j,0.074675+2.828835j,0.057227
-0.151798+0.886643j,-0.049331+3.383431j,0.077181+2.817770j,0.061293
-0.158280+0.887191j,-0.051049+3.391810j,0.079748+2.806370j,0.065623
-0.164965+0.887707j,-0.052818+3.400428j,0.082377+2.794626j,0.070232
-0.171860+0.888187j,-0.054638+3.409292j,0.085066+2.782525j,0.075138
-0.178971+0.888626j,-0.056511+3.418407j,0.087817+2.770057j,0.080359
-0.186305+0.889020j,-0.058438+3.427782j,0.090630+2.757209j,0.085913
-0.193869+0.889364j,-0.060422+3.437423j,0.093504+2.743968j,0.091822
-0.201671+0.889653j,-0.062464+3.447338j,0.096439+2.730319j,0.098108
-0.209719+0.889880j,-0.064567+3.457535j,0.099434+2.716247j,0.104793
-0.218020+0.890039j,-0.066731+3.468024j,0.102490+2.701736j,0.111904
