0.029039+0.842549j,-0.010635-3.150908j,-0.038850-3.142210j,0.000179
0.029171+0.841981j,-0.011252-3.151452j,-0.041111-3.142254j,0.000201
0.029308+0.841386j,-0.011899-3.152022j,-0.043478-3.142299j,0.000225
0.029451+0.840764j,-0.012574-3.152618j,-0.045953-3.142346j,0.000251
0.029600+0.840115j,-0.013281-3.153240j,-0.048541-3.142394j,0.000280
0.029756+0.839436j,-0.014020-3.153891j,-0.051245-3.142445j,0.000313
0.029918+0.838728j,-0.014791-3.154570j,-0.054070-3.142497j,0.000348
0.030087+0.837990j,-0.015596-3.155279j,-0.057018-3.142552j,0.000387
0.030263+0.837220j,-0.016437-3.156019j,-0.060094-3.142608j,0.000430
0.030446+0.836418j,-0.017313-3.156791j,-0.063302-3.142667j,0.000478
0.030636+0.835583j,-0.018227-3.157595j,-0.066646-3.142728j,0.000529
0.030834+0.834714j,-0.019178-3.158432j,-0.070129-3.142791j,0.000586
0.031039+0.833809j,-0.020170-3.159305j,-0.073757-3.142857j,0.000649
0.031252+0.832868j,-0.021202-3.160213j,-0.077533-3.142925j,0.000717
0.031474+0.831891j,-0.022275-3.161157j,-0.081462-3.142996j,0.000791
0.031703+0.830876j,-0.023392-3.162139j,-0.085548-3.143069j,0.000873
0.031941+0.829821j,-0.024552-3.163160j,-0.089794-3.143146j,0.000962
0.032187+0.828727j,-0.025758-3.164221j,-0.094207-3.143225j,0.001058
0.032442+0.827592j,-0.027010-3.165323j,-0.098789-3.143307j,0.001164
0.032707+0.826416j,-0.028310-3.166466j,-0.103545-3.143391j,0.001279
0.032980+0.825196j,-0.029659-3.167653j,-0.108481-3.143479j,0.001403
0.033262+0.823934j,-0.031058-3.168884j,-0.113600-3.143571j,0.001539
0.033554+0.822627j,-0.032509-3.170160j,-0.118906-3.143665j,0.001686
0.033855+0.821274j,-0.034012-3.171482j,-0.124406-3.143763j,0.001845
0.034166+0.819875j,-0.035569-3.172852j,-0.130102-3.143864j,0.002018
0.034486+0.818429j,-0.037181-3.174270j,-0.136000-3.143968j,0.002205
0.034817+0.816934j,-0.038850-3.175738j,-0.142104-3.144076j,0.002407
0.035157+0.815391j,-0.040576-3.177256j,-0.148418-3.144188j,0.002625
0.035508+0.813798j,-0.042362-3.178827j,-0.154948-3.144303j,0.002861
0.035869+0.812154j,-0.044207-3.180450j,-0.161699-3.144423j,0.003116
0.036241+0.810459j,-0.046114-3.182128j,-0.168673-3.144546j,0.003390
0.036622+0.808711j,-0.048084-3.183861j,-0.175877-3.144673j,0.003685
0.037015+0.806910j,-0.050117-3.185650j,-0.183315-3.144804j,0.004003
0.037418+0.805055j,-0.052216-3.187497j,-0.190992-3.144939j,0.004345
0.037831+0.803146j,-0.054382-3.189403j,-0.198911-3.145078j,0.004712
0.038256+0.801181j,-0.056615-3.191368j,-0.207078-3.145222j,0.005107
0.038691+0.799160j,-0.058917-3.193395j,-0.215498-3.145369j,0.005530
