-0.022403-0.851469j,0.001280+3.147638j,-0.001993+3.133617j,0.000042
-0.022095-0.851417j,0.001387+3.148056j,-0.002155+3.133066j,0.000047
-0.021770-0.851361j,0.001498+3.148498j,-0.002325+3.132484j,0.000054
-0.021427-0.851301j,0.001615+3.148965j,-0.002502+3.131869j,0.000061
-0.021065-0.851237j,0.001737+3.149458j,-0.002689+3.131220j,0.000069
-0.020683-0.851169j,0.001865+3.149977j,-0.002884+3.130535j,0.000078
-0.020281-0.851097j,0.001999+3.150525j,-0.003089+3.129813j,0.000088
-0.019858-0.851019j,0.002140+3.151102j,-0.003303+3.129053j,0.000100
-0.019413-0.850938j,0.002287+3.151710j,-0.003528+3.128252j,0.000112
-0.018945-0.850851j,0.002441+3.152349j,-0.003764+3.127410j,0.000127
-0.018454-0.850759j,0.002603+3.153021j,-0.004012+3.126524j,0.000143
-0.017937-0.850662j,0.002772+3.153728j,-0.004271+3.125593j,0.000161
-0.017395-0.850559j,0.002950+3.154470j,-0.004543+3.124615j,0.000181
-0.016826-0.850450j,0.003136+3.155249j,-0.004827+3.123588j,0.000203
-0.016230-0.850336j,0.003330+3.156066j,-0.005125+3.122511j,0.000228
-0.015604-0.850215j,0.003534+3.156923j,-0.005437+3.121382j,0.000255
-0.014949-0.850088j,0.003747+3.157821j,-0.005763+3.120198j,0.000286
-0.014263-0.849953j,0.003970+3.158761j,-0.006105+3.118958j,0.000319
-0.013546-0.849812j,0.004203+3.159746j,-0.006462+3.117660j,0.000357
-0.012795-0.849664j,0.004446+3.160777j,-0.006836+3.116301j,0.000398
-0.012010-0.849507j,0.004701+3.161856j,-0.007226+3.114879j,0.000444
-0.011189-0.849343j,0.004967+3.162983j,-0.007634+3.113393j,0.000494
-0.010332-0.849171j,0.005244+3.164161j,-0.008060+3.111839j,0.000550
-0.009437-0.848989j,0.005534+3.165392j,-0.008504+3.110216j,0.000611
-0.008503-0.848799j,0.005837+3.166678j,-0.008968+3.108522j,0.000678
-0.007529-0.848599j,0.006152+3.168019j,-0.009452+3.106753j,0.000752
-0.006513-0.848389j,0.006481+3.169419j,-0.009957+3.104907j,0.000834
-0.005454-0.848169j,0.006824+3.170879j,-0.010483+3.102982j,0.000923
-0.004350-0.847938j,0.007182+3.172401j,-0.011031+3.100975j,0.001021
-0.003201-0.847695j,0.007554+3.173988j,-0.011603+3.098883j,0.001129
-0.002004-0.847441j,0.007942+3.175640j,-0.012197+3.096704j,0.001246
-0.000759-0.847175j,0.008346+3.177361j,-0.012817+3.094435j,0.001375
0.000536-0.846896j,0.008766+3.179152j,-0.013461+3.092072j,0.001516
0.001884-0.846603j,0.009203+3.181016j,-0.014131+3.089614j,0.001669
0.003284-0.846296j,0.009658+3.182955j,-0.014829+3.087056j,0.001837
0.004739-0.845975j,0.010130+3.184971j,-0.015553+3.084396j,0.002020
0.006251-0.845639j,0.010622+3.187067j,-0.016307+3.081631j,0.002219
0.007820-0.845286j,0.011132+3.189246j,-0.017089+3.078757j,0.002436
0.009449-0.844917j,0.011663+3.191509j,-0.017902+3.075771j,0.002672
0.011140-0.844530j,0.012213+3.193859j,-0.018746+3.072670j,0.002929
0.012893-0.844126j,0.012785+3.196299j,-0.019622+3.069450j,0.003208
0.014712-0.843702j,0.013378+3.198832j,-0.020531+3.066107j,0.003511
0.016596-0.843258j,0.013994+3.201460j,-0.021474+3.062638j,0.003840
0.018550-0.842793j,0.014632+3.204186j,-0.022452+3.059039j,0.004197
0.020573-0.842307j,0.015294+3.207012j,-0.023466+3.055307j,0.004584
0.022668-0.841798j,0.015981+3.209943j,-0.024516+3.051436j,0.005002
0.024838-0.841265j,0.016692+3.212981j,-0.025605+3.047424j,0.005456
0.027083-0.840707j,0.017429+3.216128j,-0.026733+3.043266j,0.005947
0.029406-0.840124j,0.018193+3.219389j,-0.027901+3.038958j,0.006477
0.031808-0.839512j,0.018984+3.222766j,-0.029110+3.034495j,0.007051
0.034292-0.838873j,0.019802+3.226262j,-0.030361+3.029873j,0.007670
0.036860-0.838203j,0.020650+3.229881j,-0.031656+3.025088j,0.008338
0.039514-0.837503j,0.021527+3.233627j,-0.032995+3.020134j,0.009060
0.042255-0.836770j,0.022435+3.237502j,-0.034380+3.015007j,0.009838
0.045087-0.836002j,0.023373+3.241511j,-0.035812+3.009702j,0.010676
0.048010-0.835199j,0.024344+3.245656j,-0.037293+3.004214j,0.011579
