-0.076718-0.834349j,-0.011479-3.345958j,-0.049147-3.196745j,0.004949
-0.078847-0.833504j,-0.011979-3.354861j,-0.051285-3.199148j,0.005389
-0.081047-0.832624j,-0.012496-3.364079j,-0.053499-3.201635j,0.005863
-0.083319-0.831708j,-0.013031-3.373616j,-0.055789-3.204209j,0.006375
-0.085663-0.830756j,-0.013585-3.383479j,-0.058157-3.206870j,0.006927
-0.088081-0.829765j,-0.014157-3.393673j,-0.060603-3.209620j,0.007522
-0.090573-0.828735j,-0.014749-3.404201j,-0.063130-3.212460j,0.008161
-0.093138-0.827665j,-0.015360-3.415066j,-0.065737-3.215392j,0.008848
-0.095777-0.826555j,-0.015990-3.426271j,-0.068425-3.218414j,0.009586
-0.098490-0.825403j,-0.016640-3.437816j,-0.071194-3.221529j,0.010377
-0.101274-0.824209j,-0.017309-3.449701j,-0.074043-3.224734j,0.011223
-0.104131-0.822972j,-0.017998-3.461923j,-0.076973-3.228031j,0.012128
-0.107057-0.821693j,-0.018706-3.474480j,-0.079982-3.231417j,0.013095
-0.110052-0.820370j,-0.019434-3.487368j,-0.083070-3.234893j,0.014124
-0.113113-0.819005j,-0.020180-3.500581j,-0.086234-3.238456j,0.015220
-0.116239-0.817595j,-0.020944-3.514114j,-0.089474-3.242105j,0.016385
-0.119426-0.816143j,-0.021728-3.527961j,-0.092788-3.245838j,0.017620
-0.122674-0.814647j,-0.022529-3.542114j,-0.096174-3.249653j,0.018929
-0.125979-0.813109j,-0.023347-3.556566j,-0.099630-3.253549j,0.020314
-0.129340-0.811527j,-0.024184-3.571312j,-0.103154-3.257523j,0.021777
-0.132754-0.809902j,-0.025037-3.586344j,-0.106745-3.261574j,0.023319
-0.136218-0.808234j,-0.025907-3.601656j,-0.110402-3.265700j,0.024944
-0.139731-0.806524j,-0.026794-3.617241j,-0.114122-3.269900j,0.026654
-0.143291-0.804771j,-0.027697-3.633095j,-0.117904-3.274171j,0.028450
-0.146895-0.802975j,-0.028616-3.649212j,-0.121746-3.278512j,0.030336
-0.150543-0.801137j,-0.029551-3.665587j,-0.125648-3.282922j,0.032313
-0.154231-0.799255j,-0.030502-3.682216j,-0.129607-3.287400j,0.034383
-0.157959-0.797331j,-0.031469-3.699094j,-0.133623-3.291944j,0.036550
-0.161724-0.795365j,-0.032451-3.716218j,-0.137695-3.296554j,0.038814
-0.165526-0.793355j,-0.033449-3.733585j,-0.141822-3.301228j,0.041180
-0.169363-0.791302j,-0.034462-3.751191j,-0.146002-3.305966j,0.043648
-0.173233-0.789206j,-0.035491-3.769034j,-0.150235-3.310767j,0.046221
-0.177135-0.787067j,-0.036536-3.787110j,-0.154520-3.315630j,0.048902
-0.181068-0.784884j,-0.037596-3.805418j,-0.158857-3.320554j,0.051693
-0.185030-0.782658j,-0.038671-3.823955j,-0.163243-3.325538j,0.054596
-0.189020-0.780389j,-0.039762-3.842718j,-0.167679-3.330583j,0.057614
-0.193037-0.778075j,-0.040869-3.861707j,-0.172163-3.335686j,0.060748
-0.197079-0.775717j,-0.041992-3.880918j,-0.176696-3.340849j,0.064003
-0.201146-0.773316j,-0.043130-3.900350j,-0.181276-3.346069j,0.067379
-0.205236-0.770870j,-0.044285-3.920002j,-0.185902-3.351347j,0.070880
-0.209348-0.768379j,-0.045456-3.939871j,-0.190575-3.356682j,0.074508
