0.020205+0.830292j,0.042393-3.131279j,-0.031903-3.148044j,0.001072
0.019876+0.829163j,0.044584-3.130740j,-0.033552-3.148382j,0.001185
0.019534+0.827988j,0.046867-3.130179j,-0.035272-3.148733j,0.001310
0.019178+0.826766j,0.049247-3.129594j,-0.037063-3.149099j,0.001446
0.018808+0.825494j,0.051725-3.128985j,-0.038929-3.149481j,0.001595
0.018425+0.824172j,0.054305-3.128351j,-0.040872-3.149877j,0.001758
0.018027+0.822798j,0.056991-3.127691j,-0.042894-3.150290j,0.001936
0.017614+0.821370j,0.059786-3.127004j,-0.044999-3.150720j,0.002130
0.017185+0.819888j,0.062693-3.126290j,-0.047188-3.151166j,0.002342
0.016741+0.818349j,0.065716-3.125547j,-0.049465-3.151630j,0.002573
0.016281+0.816752j,0.068859-3.124775j,-0.051832-3.152113j,0.002825
0.015805+0.815095j,0.072125-3.123973j,-0.054293-3.152614j,0.003099
0.015312+0.813377j,0.075518-3.123139j,-0.056849-3.153135j,0.003398
0.014802+0.811595j,0.079043-3.122272j,-0.059505-3.153677j,0.003722
0.014274+0.809749j,0.082703-3.121372j,-0.062263-3.154238j,0.004074
0.013729+0.807837j,0.086502-3.120438j,-0.065127-3.154821j,0.004457
0.013166+0.805856j,0.090445-3.119468j,-0.068099-3.155427j,0.004872
0.012584+0.803806j,0.094536-3.118461j,-0.071183-3.156055j,0.005323
0.011983+0.801684j,0.098780-3.117416j,-0.074384-3.156706j,0.005811
0.011363+0.799488j,0.103182-3.116331j,-0.077703-3.157382j,0.006340
0.010724+0.797218j,0.107745-3.115206j,-0.081145-3.158082j,0.006914
0.010064+0.794870j,0.112475-3.114039j,-0.084714-3.158808j,0.007534
0.009385+0.792443j,0.117377-3.112829j,-0.088413-3.159561j,0.008205
0.008685+0.789936j,0.122455-3.111575j,-0.092247-3.160340j,0.008930
0.007964+0.787345j,0.127716-3.110274j,-0.096219-3.161148j,0.009715
0.007222+0.784671j,0.133164-3.108926j,-0.100334-3.161985j,0.010562
0.006459+0.781909j,0.138805-3.107529j,-0.104595-3.162851j,0.011476
0.005674+0.779060j,0.144644-3.106081j,-0.109009-3.163749j,0.012463
0.004868+0.776120j,0.150687-3.104580j,-0.113578-3.164677j,0.013527
0.004039+0.773088j,0.156941-3.103026j,-0.118308-3.165638j,0.014675
0.003187+0.769961j,0.163410-3.101416j,-0.123203-3.166633j,0.015912
0.002313+0.766739j,0.170101-3.099748j,-0.128269-3.167662j,0.017245
0.001417+0.763418j,0.177021-3.098021j,-0.133511-3.168727j,0.018680
0.000497+0.759997j,0.184176-3.096232j,-0.138933-3.169828j,0.020224
-0.000446+0.756474j,0.191572-3.094379j,-0.144541-3.170966j,0.021886
-0.001412+0.752847j,0.199216-3.092461j,-0.150342-3.172144j,0.023674
-0.002402+0.749114j,0.207116-3.090474j,-0.156340-3.173361j,0.025596
-0.003415+0.745273j,0.215277-3.088417j,-0.162542-3.174619j,0.027661
-0.004449+0.741329j,0.223692-3.086291j,-0.168940-3.175917j,0.029876
-0.005503+0.737292j,0.232344-3.084100j,-0.175526-3.177252j,0.032244
-0.006575+0.733160j,0.241238-3.081841j,-0.182301-3.178626j,0.034773
-0.007665+0.728933j,0.250377-3.079514j,-0.189269-3.180038j,0.037474
-0.008773+0.724612j,0.259764-3.077117j,-0.196434-3.181489j,0.040354
-0.009898+0.720197j,0.269401-3.074647j,-0.203797-3.182981j,0.043425
-0.011040+0.715688j,0.279291-3.072104j,-0.211363-3.184512j,0.046697
-0.012198+0.711084j,0.289438-3.069486j,-0.219135-3.186085j,0.050179
-0.013372+0.706387j,0.299843-3.066792j,-0.227114-3.187700j,0.053884
-0.014561+0.701596j,0.310509-3.064018j,-0.235306-3.189356j,0.057823
-0.015764+0.696713j,0.321439-3.061164j,-0.243712-3.191055j,0.062008
-0.016981+0.691737j,0.332634-3.058228j,-0.252336-3.192797j,0.066452
-0.018212+0.686670j,0.344097-3.055208j,-0.261181-3.194584j,0.071167
-0.019454+0.681512j,0.355829-3.052102j,-0.270250-3.196414j,0.076166
-0.020708+0.676264j,0.367834-3.048908j,-0.279546-3.198289j,0.081465
