-0.032090-0.822828j,0.054068+3.126827j,-0.041028+3.151207j,0.001809
-0.032342-0.821397j,0.056734+3.126100j,-0.043051+3.151680j,0.001991
-0.032603-0.819910j,0.059508+3.125344j,-0.045157+3.152172j,0.002190
-0.032874-0.818366j,0.062392+3.124557j,-0.047347+3.152683j,0.002407
-0.033154-0.816763j,0.065391+3.123738j,-0.049625+3.153215j,0.002643
-0.033444-0.815100j,0.068509+3.122887j,-0.051992+3.153768j,0.002900
-0.033743-0.813376j,0.071748+3.122002j,-0.054452+3.154343j,0.003180
-0.034053-0.811588j,0.075113+3.121083j,-0.057008+3.154941j,0.003485
-0.034374-0.809735j,0.078608+3.120128j,-0.059663+3.155561j,0.003816
-0.034705-0.807815j,0.082236+3.119136j,-0.062420+3.156206j,0.004176
-0.035047-0.805826j,0.086003+3.118106j,-0.065282+3.156874j,0.004567
-0.035399-0.803768j,0.089911+3.117037j,-0.068252+3.157569j,0.004991
-0.035763-0.801637j,0.093966+3.115927j,-0.071334+3.158289j,0.005450
-0.036138-0.799432j,0.098171+3.114775j,-0.074532+3.159037j,0.005949
-0.036525-0.797151j,0.102532+3.113580j,-0.077848+3.159812j,0.006488
-0.036923-0.794793j,0.107052+3.112340j,-0.081286+3.160615j,0.007073
-0.037333-0.792356j,0.111738+3.111055j,-0.084850+3.161449j,0.007705
-0.037755-0.789837j,0.116593+3.109722j,-0.088545+3.162312j,0.008389
-0.038190-0.787235j,0.121622+3.108341j,-0.092373+3.163207j,0.009128
-0.038636-0.784549j,0.126831+3.106909j,-0.096339+3.164134j,0.009927
-0.039095-0.781775j,0.132225+3.105425j,-0.100447+3.165094j,0.010790
-0.039566-0.778913j,0.137809+3.103887j,-0.104701+3.166089j,0.011721
-0.040050-0.775960j,0.143588+3.102294j,-0.109107+3.167118j,0.012726
-0.040547-0.772914j,0.149569+3.100644j,-0.113667+3.168184j,0.013809
-0.041057-0.769774j,0.155757+3.098935j,-0.118387+3.169287j,0.014977
-0.041579-0.766538j,0.162158+3.097165j,-0.123272+3.170429j,0.016236
-0.042114-0.763203j,0.168778+3.095332j,-0.128327+3.171610j,0.017591
-0.042663-0.759767j,0.175623+3.093435j,-0.133556+3.172832j,0.019051
-0.043224-0.756229j,0.182699+3.091471j,-0.138965+3.174096j,0.020621
-0.043798-0.752587j,0.190013+3.089437j,-0.144559+3.175403j,0.022311
-0.044385-0.748839j,0.197572+3.087333j,-0.150344+3.176754j,0.024128
-0.044985-0.744983j,0.205381+3.085155j,-0.156325+3.178152j,0.026081
-0.045599-0.741016j,0.213449+3.082900j,-0.162509+3.179596j,0.028179
-0.046223-0.736944j,0.221769+3.080571j,-0.168892+3.181087j,0.030430
-0.046858-0.732776j,0.230323+3.078171j,-0.175460+3.182620j,0.032836
-0.047503-0.728513j,0.239115+3.075699j,-0.182217+3.184198j,0.035405
-0.048156-0.724154j,0.248147+3.073154j,-0.189165+3.185820j,0.038148
-0.048819-0.719699j,0.257422+3.070533j,-0.196309+3.187487j,0.041073
-0.049490-0.715149j,0.266943+3.067836j,-0.203650+3.189200j,0.044191
-0.050169-0.710505j,0.276713+3.065061j,-0.211191+3.190960j,0.047512
-0.050856-0.705765j,0.286735+3.062206j,-0.218937+3.192767j,0.051047
-0.051550-0.700931j,0.297010+3.059270j,-0.226890+3.194622j,0.054806
-0.052251-0.696004j,0.307541+3.056251j,-0.235053+3.196526j,0.058803
-0.052958-0.690983j,0.318331+3.053147j,-0.243430+3.198479j,0.063048
-0.053671-0.685870j,0.329381+3.049956j,-0.252022+3.200482j,0.067555
-0.054388-0.680665j,0.340695+3.046677j,-0.260835+3.202536j,0.072337
