-1.154060+0.197179j,-0.000003-3.141590j,0.000003-3.141595j,0.000000
-1.154073+0.197171j,-0.000003-3.141590j,0.000003-3.141595j,0.000000
-1.154085+0.197163j,-0.000003-3.141590j,0.000003-3.141595j,0.000000
-1.154097+0.197156j,-0.000003-3.141590j,0.000003-3.141595j,0.000000
-1.154109+0.197148j,-0.000003-3.141590j,0.000003-3.141595j,0.000000
-1.154121+0.197140j,-0.000003-3.141590j,0.000003-3.141595j,0.000000
-1.154133+0.197132j,-0.000003-3.141590j,0.000003-3.141595j,0.000000
-1.154145+0.197124j,-0.000003-3.141590j,0.000003-3.141595j,0.000000
-1.154157+0.197117j,-0.000003-3.141590j,0.000003-3.141595j,0.000000
-1.154169+0.197109j,-0.000003-3.141590j,0.000003-3.141595j,0.000000
-1.154181+0.197101j,-0.000003-3.141590j,0.000003-3.141595j,0.000000
-1.154193+0.197094j,-0.000003-3.141590j,0.000003-3.141595j,0.000000
-1.154205+0.197086j,-0.000003-3.141590j,0.000003-3.141595j,0.000000
-1.154217+0.197078j,-0.000003-3.141590j,0.000003-3.141595j,0.000000
-1.154229+0.197071j,-0.000003-3.141590j,0.000003-3.141595j,0.000000
-1.154240+0.197063j,-0.000003-3.141590j,0.000003-3.141595j,0.000000
-1.154252+0.197055j,-0.000003-3.141590j,0.000003-3.141595j,0.000000
-1.154264+0.197048j,-0.000003-3.141590j,0.000003-3.141595j,0.000000
-1.154276+0.197040j,-0.000003-3.141590j,0.000003-3.141595j,0.000000
-1.154288+0.197033j,-0.000003-3.141590j,0.000003-3.141595j,0.000000
-1.154300+0.197025j,-0.000003-3.141590j,0.000003-3.141595j,0.000000
-1.154311+0.197017j,-0.000003-3.141590j,0.000003-3.141595j,0.000000
-1.154323+0.197010j,-0.000003-3.141590j,0.000003-3.141595j,0.000000
-1.154335+0.197002j,-0.000003-3.141590j,0.000003-3.141595j,0.000000
-1.154346+0.196995j,-0.000003-3.141590j,0.000003-3.141595j,0.000000
-1.154358+0.196987j,-0.000003-3.141590j,0.000003-3.141595j,0.000000
