-0.980496-0.247810j,-0.000003+3.141591j,0.000003+3.141595j,0.000000
-0.980509-0.247806j,-0.000003+3.141591j,0.000003+3.141595j,0.000000
-0.980522-0.247803j,-0.000003+3.141591j,0.000003+3.141595j,0.000000
-0.980534-0.247799j,-0.000003+3.141591j,0.000003+3.141595j,0.000000
-0.980547-0.247795j,-0.000003+3.141591j,0.000003+3.141595j,0.000000
-0.980560-0.247791j,-0.000003+3.141591j,0.000003+3.141595j,0.000000
-0.980573-0.247788j,-0.000003+3.141591j,0.000003+3.141595j,0.000000
-0.980586-0.247784j,-0.000003+3.141591j,0.000003+3.141595j,0.000000
-0.980598-0.247780j,-0.000003+3.141591j,0.000003+3.141595j,0.000000
-0.980611-0.247776j,-0.000003+3.141591j,0.000003+3.141595j,0.000000
-0.980624-0.247773j,-0.000003+3.141591j,0.000003+3.141595j,0.000000
-0.980637-0.247769j,-0.000003+3.141591j,0.000003+3.141595j,0.000000
-0.980649-0.247765j,-0.000003+3.141591j,0.000003+3.141595j,0.000000
-0.980662-0.247762j,-0.000003+3.141591j,0.000003+3.141595j,0.000000
-0.980675-0.247758j,-0.000003+3.141591j,0.000003+3.141595j,0.000000
-0.980687-0.247754j,-0.000003+3.141591j,0.000003+3.141595j,0.000000
-0.980700-0.247751j,-0.000003+3.141591j,0.000003+3.141595j,0.000000
-0.980712-0.247747j,-0.000003+3.141591j,0.000003+3.141595j,0.000000
-0.980725-0.247743j,-0.000003+3.141591j,0.000003+3.141595j,0.000000
-0.980738-0.247740j,-0.000003+3.141591j,0.000003+3.141595j,0.000000
-0.980750-0.247736j,-0.000003+3.141591j,0.000003+3.141595j,0.000000
-0.980763-0.247733j,-0.000003+3.141591j,0.000003+3.141595j,0.000000
-0.980775-0.247729j,-0.000003+3.141591j,0.000003+3.141595j,0.000000
-0.980788-0.247725j,-0.000003+3.141591j,0.000003+3.141595j,0.000000
-0.980800-0.247722j,-0.000003+3.141591j,0.000003+3.141595j,0.000000
-0.980813-0.247718j,-0.000003+3.141591j,0.000003+3.141595j,0.000000
-0.980825-0.247715j,-0.000003+3.141591j,0.000003+3.141595j,0.000000
-0.980837-0.247711j,-0.000003+3.141591j,0.000003+3.141595j,0.000000
-0.980850-0.247707j,-0.000003+3.141591j,0.000003+3.141595j,0.000000
-0.980862-0.247704j,-0.000003+3.141591j,0.000003+3.141595j,0.000000
-0.980874-0.247700j,-0.000003+3.141591j,0.000003+3.141595j,0.000000
-0.980887-0.247697j,-0.000003+3.141591j,0.000003+3.141595j,0.000000
-0.980899-0.247693j,-0.000003+3.141591j,0.000003+3.141595j,0.000000
-0.980911-0.247690j,-0.000003+3.141591j,0.000003+3.141595j,0.000000
-0.980924-0.247686j,-0.000003+3.141591j,0.000003+3.141595j,0.000000
-0.980936-0.247683j,-0.000003+3.141591j,0.000003+3.141595j,0.000000
-0.980948-0.247679j,-0.000003+3.141591j,0.000003+3.141595j,0.000000
-0.980960-0.247676j,-0.000003+3.141591j,0.000003+3.141595j,0.000000
-0.980973-0.247672j,-0.000003+3.141591j,0.000003+3.141595j,0.000000
-0.980985-0.247669j,-0.000003+3.141591j,0.000003+3.141595j,0.000000
-0.980997-0.247665j,-0.000003+3.141591j,0.000003+3.141595j,0.000000
-0.981009-0.247662j,-0.000003+3.141591j,0.000003+3.141595j,0.000000
-0.981021-0.247658j,-0.000003+3.141591j,0.000003+3.141595j,0.000000
-0.981033-0.247655j,-0.000003+3.141591j,0.000003+3.141595j,0.000000
-0.981046-0.247651j,-0.000003+3.141591j,0.000003+3.141595j,0.000000
-0.981058-0.247648j,-0.000003+3.141591j,0.000003+3.141595j,0.000000
-0.981070-0.247644j,-0.000003+3.141591j,0.000003+3.141595j,0.000000
-0.981082-0.247641j,-0.000003+3.141591j,0.000003+3.141595j,0.000000
