-0.770015-0.090188j,-0.000003-3.141593j,0.000003-3.141592j,0.000000
-0.770026-0.090188j,-0.000003-3.141593j,0.000003-3.141592j,0.000000
-0.770038-0.090187j,-0.000003-3.141593j,0.000003-3.141592j,0.000000
-0.770049-0.090187j,-0.000003-3.141593j,0.000003-3.141592j,0.000000
-0.770061-0.090187j,-0.000003-3.141593j,0.000003-3.141592j,0.000000
-0.770072-0.090186j,-0.000003-3.141593j,0.000003-3.141592j,0.000000
-0.770084-0.090186j,-0.000003-3.141593j,0.000003-3.141592j,0.000000
-0.770095-0.090186j,-0.000003-3.141593j,0.000003-3.141592j,0.000000
-0.770107-0.090185j,-0.000003-3.141593j,0.000003-3.141592j,0.000000
-0.770118-0.090185j,-0.000003-3.141593j,0.000003-3.141592j,0.000000
-0.770129-0.090184j,-0.000003-3.141593j,0.000003-3.141592j,0.000000
-0.770141-0.090184j,-0.000003-3.141593j,0.000003-3.141592j,0.000000
-0.770152-0.090184j,-0.000003-3.141593j,0.000003-3.141592j,0.000000
-0.770163-0.090183j,-0.000003-3.141593j,0.000003-3.141592j,0.000000
-0.770174-0.090183j,-0.000003-3.141593j,0.000003-3.141592j,0.000000
-0.770186-0.090183j,-0.000003-3.141593j,0.000003-3.141592j,0.000000
-0.770197-0.090182j,-0.000003-3.141593j,0.000003-3.141592j,0.000000
-0.770208-0.090182j,-0.000003-3.141593j,0.000003-3.141592j,0.000000
-0.770219-0.090182j,-0.000003-3.141593j,0.000003-3.141592j,0.000000
-0.770231-0.090181j,-0.000003-3.141593j,0.000003-3.141592j,0.000000
-0.770242-0.090181j,-0.000003-3.141593j,0.000003-3.141592j,0.000000
-0.770253-0.090180j,-0.000003-3.141593j,0.000003-3.141592j,0.000000
-0.770264-0.090180j,-0.000003-3.141593j,0.000003-3.141592j,0.000000
-0.770275-0.090180j,-0.000003-3.141593j,0.000003-3.141592j,0.000000
-0.770286-0.090179j,-0.000003-3.141593j,0.000003-3.141592j,0.000000
-0.770297-0.090179j,-0.000003-3.141593j,0.000003-3.141592j,0.000000
-0.770309-0.090179j,-0.000003-3.141593j,0.000003-3.141592j,0.000000
-0.770320-0.090178j,-0.000003-3.141593j,0.000003-3.141592j,0.000000
-0.770331-0.090178j,-0.000003-3.141593j,0.000003-3.141592j,0.000000
-0.770342-0.090178j,-0.000003-3.141593j,0.000003-3.141592j,0.000000
-0.770353-0.090177j,-0.000003-3.141593j,0.000003-3.141592j,0.000000
-0.770364-0.090177j,-0.000003-3.141593j,0.000003-3.141592j,0.000000
-0.770375-0.090177j,-0.000003-3.141593j,0.000003-3.141592j,0.000000
-0.770386-0.090176j,-0.000003-3.141593j,0.000003-3.141592j,0.000000
-0.770397-0.090176j,-0.000004-3.141593j,0.000004-3.141592j,0.000000
-0.770408-0.090176j,-0.000004-3.141593j,0.000004-3.141592j,0.000000
-0.770418-0.090175j,-0.000004-3.141593j,0.000004-3.141592j,0.000000
-0.770429-0.090175j,-0.000004-3.141593j,0.000004-3.141592j,0.000000
-0.770440-0.090175j,-0.000004-3.141593j,0.000004-3.141592j,0.000000
-0.770451-0.090174j,-0.000004-3.141593j,0.000004-3.141592j,0.000000
-0.770462-0.090174j,-0.000004-3.141593j,0.000004-3.141592j,0.000000
-0.770473-0.090174j,-0.000004-3.141593j,0.000004-3.141592j,0.000000
-0.770484-0.090173j,-0.000004-3.141593j,0.000004-3.141592j,0.000000
-0.770495-0.090173j,-0.000004-3.141593j,0.000004-3.141592j,0.000000
-0.770505-0.090173j,-0.000004-3.141593j,0.000004-3.141592j,0.000000
-0.770516-0.090172j,-0.000004-3.141593j,0.000004-3.141592j,0.000000
-0.770527-0.090172j,-0.000004-3.141593j,0.000004-3.141592j,0.000000
-0.770538-0.090172j,-0.000004-3.141593j,0.000004-3.141592j,0.000000
-0.770548-0.090171j,-0.000004-3.141593j,0.000004-3.141592j,0.000000
-0.770559-0.090171j,-0.000004-3.141593j,0.000004-3.141592j,0.000000
