-1.209265+0.130772j,0.000003+3.141593j,-0.000003+3.141592j,0.000000
-1.209248+0.130768j,0.000003+3.141593j,-0.000003+3.141592j,0.000000
-1.209232+0.130764j,0.000003+3.141593j,-0.000003+3.141592j,0.000000
-1.209215+0.130760j,0.000003+3.141593j,-0.000003+3.141592j,0.000000
-1.209198+0.130756j,0.000003+3.141593j,-0.000003+3.141592j,0.000000
-1.209181+0.130751j,0.000003+3.141593j,-0.000003+3.141592j,0.000000
-1.209164+0.130747j,0.000003+3.141593j,-0.000003+3.141592j,0.000000
-1.209148+0.130743j,0.000004+3.141593j,-0.000004+3.141592j,0.000000
-1.209131+0.130739j,0.000004+3.141593j,-0.000004+3.141592j,0.000000
-1.209114+0.130735j,0.000004+3.141593j,-0.000004+3.141592j,0.000000
-1.209098+0.130731j,0.000004+3.141593j,-0.000004+3.141592j,0.000000
-1.209081+0.130727j,0.000004+3.141593j,-0.000004+3.141592j,0.000000
-1.209065+0.130722j,0.000004+3.141593j,-0.000004+3.141592j,0.000000
-1.209048+0.130718j,0.000004+3.141593j,-0.000004+3.141592j,0.000000
-1.209032+0.130714j,0.000004+3.141593j,-0.000004+3.141592j,0.000000
-1.209015+0.130710j,0.000004+3.141593j,-0.000004+3.141592j,0.000000
-1.208999+0.130706j,0.000004+3.141593j,-0.000004+3.141592j,0.000000
-1.208983+0.130702j,0.000004+3.141593j,-0.000004+3.141592j,0.000000
-1.208966+0.130698j,0.000004+3.141593j,-0.000004+3.141592j,0.000000
-1.208950+0.130694j,0.000004+3.141593j,-0.000004+3.141592j,0.000000
-1.208934+0.130690j,0.000004+3.141593j,-0.000004+3.141592j,0.000000
-1.208917+0.130686j,0.000004+3.141593j,-0.000004+3.141592j,0.000000
-1.208901+0.130682j,0.000004+3.141593j,-0.000004+3.141592j,0.000000
-1.208885+0.130678j,0.000004+3.141593j,-0.000004+3.141592j,0.000000
-1.208869+0.130674j,0.000004+3.141593j,-0.000004+3.141592j,0.000000
-1.208853+0.130670j,0.000004+3.141593j,-0.000004+3.141592j,0.000000
-1.208837+0.130666j,0.000004+3.141593j,-0.000004+3.141592j,0.000000
-1.208821+0.130662j,0.000004+3.141593j,-0.000004+3.141592j,0.000000
-1.208805+0.130658j,0.000004+3.141593j,-0.000004+3.141592j,0.000000
-1.208789+0.130654j,0.000004+3.141593j,-0.000004+3.141592j,0.000000
-1.208773+0.130650j,0.000004+3.141593j,-0.000004+3.141592j,0.000000
-1.208757+0.130646j,0.000004+3.141593j,-0.000004+3.141592j,0.000000
-1.208741+0.130642j,0.000004+3.141593j,-0.000004+3.141592j,0.000000
-1.208725+0.130639j,0.000004+3.141593j,-0.000004+3.141592j,0.000000
-1.208709+0.130635j,0.000004+3.141593j,-0.000004+3.141592j,0.000000
-1.208694+0.130631j,0.000004+3.141593j,-0.000004+3.141592j,0.000000
-1.208678+0.130627j,0.000004+3.141593j,-0.000004+3.141592j,0.000000
-1.208662+0.130623j,0.000004+3.141593j,-0.000004+3.141592j,0.000000
-1.208646+0.130619j,0.000004+3.141593j,-0.000004+3.141592j,0.000000
-1.208631+0.130615j,0.000004+3.141593j,-0.000004+3.141592j,0.000000
-1.208615+0.130611j,0.000004+3.141593j,-0.000004+3.141592j,0.000000
-1.208599+0.130608j,0.000004+3.141593j,-0.000004+3.141592j,0.000000
-1.208584+0.130604j,0.000004+3.141593j,-0.000004+3.141592j,0.000000
-1.208568+0.130600j,0.000004+3.141593j,-0.000004+3.141592j,0.000000
-1.208553+0.130596j,0.000004+3.141593j,-0.000004+3.141592j,0.000000
-1.208537+0.130592j,0.000004+3.141593j,-0.000004+3.141592j,0.000000
-1.208522+0.130588j,0.000004+3.141593j,-0.000004+3.141592j,0.000000
-1.208506+0.130585j,0.000004+3.141593j,-0.000004+3.141592j,0.000000
-1.208491+0.130581j,0.000004+3.141593j,-0.000004+3.141592j,0.000000
-1.208475+0.130577j,0.000004+3.141593j,-0.000004+3.141592j,0.000000
-1.208460+0.130573j,0.000004+3.141593j,-0.000004+3.141592j,0.000000
-1.208444+0.130570j,0.000004+3.141593j,-0.000004+3.141592j,0.000000
-1.208429+0.130566j,0.000004+3.141593j,-0.000004+3.141592j,0.000000
-1.208414+0.130562j,0.000004+3.141593j,-0.000004+3.141592j,0.000000
-1.208398+0.130558j,0.000004+3.141593j,-0.000004+3.141592j,0.000000
-1.208383+0.130554j,0.000004+3.141593j,-0.000004+3.141592j,0.000000
-1.208368+0.130551j,0.000004+3.141593j,-0.000004+3.141592j,0.000000
-1.208353+0.130547j,0.000004+3.141593j,-0.000004+3.141592j,0.000000
-1.208338+0.130543j,0.000004+3.141593j,-0.000004+3.141592j,0.000000
-1.208322+0.130540j,0.000004+3.141593j,-0.000004+3.141592j,0.000000
-1.208307+0.130536j,0.000004+3.141593j,-0.000004+3.141592j,0.000000
-1.208292+0.130532j,0.000004+3.141593j,-0.000004+3.141592j,0.000000
-1.208277+0.130528j,0.000004+3.141593j,-0.000004+3.141592j,0.000000
-1.208262+0.130525j,0.000004+3.141593j,-0.000004+3.141592j,0.000000
-1.208247+0.130521j,0.000004+3.141593j,-0.000004+3.141592j,0.000000
-1.208232+0.130517j,0.000004+3.141593j,-0.000004+3.141592j,0.000000
-1.208217+0.130514j,0.000004+3.141593j,-0.000004+3.141592j,0.000000
-1.208202+0.130510j,0.000004+3.141593j,-0.000004+3.141592j,0.000000
-1.208187+0.130506j,0.000004+3.141593j,-0.000004+3.141592j,0.000000
-1.208172+0.130503j,0.000004+3.141593j,-0.000004+3.141592j,0.000000
-1.208157+0.130499j,0.000004+3.141593j,-0.000004+3.141592j,0.000000
