-0.971990-0.006644j,1.386294+0.000002j,1.386295-0.000002j,0.000000
-0.971993-0.006665j,1.386294+0.000002j,1.386295-0.000002j,0.000000
-0.971996-0.006686j,1.386294+0.000002j,1.386295-0.000002j,0.000000
-0.972000-0.006707j,1.386294+0.000002j,1.386295-0.000002j,0.000000
-0.972003-0.006727j,1.386294+0.000002j,1.386295-0.000002j,0.000000
-0.972006-0.006748j,1.386294+0.000002j,1.386295-0.000002j,0.000000
-0.972009-0.006768j,1.386294+0.000002j,1.386295-0.000002j,0.000000
-0.972013-0.006789j,1.386294+0.000002j,1.386295-0.000002j,0.000000
-0.972016-0.006809j,1.386294+0.000002j,1.386295-0.000002j,0.000000
-0.972019-0.006830j,1.386294+0.000002j,1.386295-0.000002j,0.000000
-0.972022-0.006850j,1.386294+0.000002j,1.386295-0.000002j,0.000000
-0.972025-0.006870j,1.386294+0.000002j,1.386295-0.000002j,0.000000
-0.972028-0.006891j,1.386294+0.000002j,1.386295-0.000002j,0.000000
-0.972031-0.006911j,1.386294+0.000002j,1.386295-0.000002j,0.000000
-0.972034-0.006931j,1.386294+0.000002j,1.386295-0.000002j,0.000000
-0.972037-0.006951j,1.386294+0.000002j,1.386295-0.000002j,0.000000
-0.972040-0.006971j,1.386294+0.000002j,1.386295-0.000002j,0.000000
-0.972043-0.006991j,1.386294+0.000002j,1.386295-0.000002j,0.000000
-0.972046-0.007011j,1.386294+0.000002j,1.386295-0.000002j,0.000000
-0.972048-0.007031j,1.386294+0.000002j,1.386295-0.000002j,0.000000
-0.972051-0.007051j,1.386294+0.000002j,1.386295-0.000002j,0.000000
-0.972054-0.007071j,1.386294+0.000002j,1.386295-0.000002j,0.000000
-0.972057-0.007091j,1.386294+0.000002j,1.386295-0.000002j,0.000000
-0.972059-0.007111j,1.386294+0.000002j,1.386295-0.000002j,0.000000
-0.972062-0.007130j,1.386294+0.000002j,1.386295-0.000002j,0.000000
-0.972065-0.007150j,1.386294+0.000002j,1.386295-0.000002j,0.000000
-0.972067-0.007170j,1.386294+0.000002j,1.386295-0.000002j,0.000000
-0.972070-0.007189j,1.386294+0.000002j,1.386295-0.000002j,0.000000
-0.972072-0.007209j,1.386294+0.000002j,1.386295-0.000002j,0.000000
-0.972075-0.007228j,1.386294+0.000002j,1.386295-0.000002j,0.000000
-0.972077-0.007248j,1.386294+0.000002j,1.386295-0.000002j,0.000000
-0.972080-0.007267j,1.386294+0.000002j,1.386295-0.000002j,0.000000
-0.972082-0.007286j,1.386294+0.000002j,1.386295-0.000002j,0.000000
-0.972085-0.007306j,1.386294+0.000002j,1.386295-0.000002j,0.000000
